id;Imie;Nazwisko;Stopien
813;Swarczewicz;NiŸnikowski;1
814;Piszkie;Bineusztok;10
815;Kojtek;Fedunik;6
816;Jakumin;Swi¹tek;9
817;Trontkiewicz;Bernt;1
818;Pacholik;Jania;9
819;Hoznarowski;Drobecka;1
820;Ralski;Kaczalski;5
821;Tukwiñski;Wertczuk;3
822;Sniadowski;Gowlikiewicz;7
823;Kapserek;Siemanowicz;4
824;Skiry³o;Poprotny;8
825;Ka³danek;Szumilcz;10
826;Do³owy;Jakubieæ;2
827;Pisaronek;Kipraniuk;10
828;Roszczynalski;Watykowska;3
829;Mrozonek;Kawowicz;9
830;Pachorzyñski;Kijko;4
831;Legert;Kabuszewski;8
832;Bajora;Gregorczak;7
833;Sad³oñ;Worchholc;7
834;Jaz;Tybor;1
835;Paleszko;Blonchel;10
836;Korylczak;Zachorek;4
837;Syczewicz;Najah;7
838;Hineburg;£opuszak;1
839;Wiewiórski Malinowski;Gipki;1
840;Madonicz;Chworelnik;1
841;Kuksiuk;Dumecz;8
842;Kuros;Becmerski;2
843;Gradomiñski;Bawaszkiewicz;5
844;Szkotnik;Rabanda;5
845;Dziewis;Omalañczuk;1
846;Gruczman;Uleniecki;1
847;Zimróz;Szyszy³o;4
848;Hanækowiak;Weniewski;3
849;Stajkiewicz;O¿dziñski;10
850;Gnisz;Cupie³;7
851;Fecynicz;Kmiecik vel Kaczmarek;2
852;Szygajew;Raunmiagi;3
853;Jarukas;Bêbniarz;7
854;Minder;Zdamecki;3
855;Sappek;Kabuszewski;5
856;Giej³o;Skrzyski;5
857;Lanczowska;Starulok;6
858;Farganus;Ko³aniakowski;6
859;Brunda;Jasztold;5
860;Debnar;Pajeski;7
861;Brdzowska;Ha³ajczak;4
862;Soschka;Patryk;3
863;Babirczyk;Storm;2
864;Leckorzyñska;Mazyl;3
865;Ohluk;Gamorak;3
866;Bambalas;Nyciñska;6
867;Markurat;BraŸka;10
868;Antmucka;Walioszczyk;9
869;Ko³paciñski;Siadeczka;10
870;Bialoñczyk;Per;4
871;Myklusz;Blauza;1
872;Topulniak;Kleinwaechter;3
873;Skrzybski;Dymkowicz;8
874;Maleñczak;Guœlin;1
875;Winning;Polner;1
876;Oziomski;Ziziko;4
877;Borzenkowska;Krystew;8
878;Laitinen;Dessaules;6
879;Ch³onkowska;Hausa;8
880;Dziarnik;Symecki;3
881;Forgalski;Gmowska;1
882;Gniotkiewicz;Bambu³a;9
883;Kopatz;Morajka;2
884;Stefczyk;Cycha;2
885;Naujokat;Paunecka;5
886;Rejc;Siemacka;2
887;Stepaniec;Su³ankiewicz;1
888;Zymer;Murlewski;1
889;Magenta;Rze¿uchowski;8
890;Palacius;Szerype;6
891;Gredinger;Jermanowicz;5
892;Kornelli;Sycz;3
893;Piotruch;Zagol;7
894;Beckel;Szyme³yniec;8
895;Jeryga;Borzecki;5
896;Szamsza;Kellar;2
897;Dondela;Wawrzynek;10
898;Stepanoff;Jasnosik;5
899;Kesser;Kopiczka;7
900;Fackowiak;Dzieszyñski;5
901;Tuziuk;Myroñ;8
902;£añski;Zyrych;
903;Atolska;Miszkurko;2
904;Zbielut;Walkewicz;6
905;Bazylikut;Ligurska;6
906;Terykow;Cechmann;7
907;Hruszczyk;Piutko;1
908;Tawasiewicz;Maksylewicz;2
909;Wolfs;Reychych;7
910;Stellmaszewska;Ilmicka;2
911;Mathussek;Fydrychewicz;6
912;Pudesz;Lichty;9
913;Packowicz;Buczaga;9
914;Opalona;Skalnierski;10
915;¯ywalewski;Czepi¿yn;1
916;Œmiekowicz;Chauke;7
917;Ru¿ycki;G³¹bocki;7
918;Mierdziñski;Willimowski;2
919;Meszuk;Dziupa;8
920;Ja³czy;Bukszanowicz;4
921;£ysczasz;Bubi³ek;2
922;Loewy;Cyplaki;1
923;Krupkowski;Smatarska;8
924;Bachyr;Czerchawy;9
925;Barwenczyk;Jozefacki;1
926;Siewoœciej;Belwon;1
927;Haidar;Stoboszewska;1
928;Kolbiczy;Ody³;4
929;Hladil;Taradejna;2
930;Matwiczyn;Gothard;1
931;Kutwiñski;Maœca;4
932;Matyszczyk;Go³obiewska;9
933;Sygiet;Stellmann;1
934;Mrawczyk;Szerszeniowski;1
935;Gardipe;Piter;3
936;HuŸniak;Ochwanowski;10
937;Giedlarska;Powel;9
938;Klej;Budzimiera;2
939;Mortun;Woytkowska;10
940;Friszkemut;Fillipiak;5
941;Pawêziak;Wawrzaniak;9
942;Samo³ajczyk;Prochowiak;4
943;Gerszoñ;Murzicz;1
944;Rajko;Dzieniusz;1
945;Rekonwald;Andrejczak;9
946;Stupa³kowski;Or³os;8
947;Kosianka;Kalik;8
948;Lubczak;Nuzbaum;7
949;Zafórska;Jacmiacka;5
950;Cpak;Krystosiuk;3
951;Bordyczewski;Tanicka;8
952;Gstier;Gligo;5
953;Fidrich;Wiesa;8
954;Serotiuk;Wiejak;7
955;Wolynko;Siebenheller;4
956;Mikaniec;Ha³ubiczko;3
957;Ciepielka;Pinio¿yñski;9
958;Szmulicka;Jêdrak;5
959;Bancal;Domaniecki;10
960;Ba¿anow;Kozurek;3
961;Nokert;Tychoniuk;3
962;Redlak;Gotarski;4
963;Wiernowalski;Storoch;4
964;£ungowski;Kirszek;1
965;Riba;Prokopiñski;1
966;Chotliñski;Karycki;1
967;Wolaczyñski;C³apka;5
968;Szulitko;£ukszta;8
969;Przyzwañski;Gallina;1
970;Preclik;Weœnin;3
971;Danielec;Garpiec;1
972;Mikleñski;Janiszczewska;7
973;£atwis;Pêche¿ewski;3
974;Kufierska;Szczerbat;7
975;Kliter;Hechowski;1
976;Kutozow;Popereczna;6
977;Semplik;Skipski;6
978;Hergesheimer;Balsewicz;8
979;Patrick;Kumoterski;3
980;¯emralski;Spizewski;7
981;Machwiec;Œmiglicki;5
982;Morcienko;Plonske;2
983;Domaniowska;Pietrysiñski;1
984;Ka³o;Kranich;8
985;Dycker;Kofta;1
986;B³ajerz;Zo³adkiewicz;4
987;Slipiko;Kislingier;1
988;Be³czycka;Chendoszko;2
989;Hechelski;Garwaski;1
990;Dyrdu³a;Gonczarski;10
991;Domun;Jeleni;9
992;£ytysz;Polleks;2
993;Gurbunowicz;Kapalski;1
994;Mierau;Katowski;9
995;Wasilko;Sciube³;8
996;Obora;Stempor;3
997;Stelzel;Jawgier;1
998;Eierweis;Badia;1
999;Horubski;W³¹czyk;9
1000;Kaperstein;Wetrów;10
1001;Sprycha;Mikuleæ;8
1002;Emeschojmer;Stêbolska;7
1003;Auchman;Niedzieluk;8
1004;Dzianek;Rambisz;2
1005;KuŸmoñski;Twerdyk;6
1006;Zofiarska;Krawczyko;1
1007;Czyrañ;Chosia;2
1008;Rzy³a;Badrewicz;9
1009;Skibniecki;Golka;3
1010;Mê¿ykiewicz;Atkonis;1
1011;Stechmij;Gorgel;6
1012;Cza³upa;Zaporo¿ec;6
1013;¯ydak;Gniech;4
1014;Pobrotyñ;£¹szczak;7
1015;Jagocha;£bik;10
1016;Szamski;Slusarz;6
1017;Czopel;Perlamuter;1
1018;Szatarów;Lagutka;10
1019;Kazbierzuk;Guttmayer;8
1020;Œniegurowicz;D¹darska;4
1021;Rwaczew;Gularczyk;6
1022;Wilunek;Warawas;4
1023;Lieschner;Dohnalik;3
1024;Drabacz;Rozenkiewska;1
1025;Ma³uszuk;Gabryniewicz;6
1026;Zygorowska;Segiedyn;7
1027;Dettman;P³odzieñ;5
1028;Trygubienko;Slêzak;5
1029;Jarunt;Knaz;7
1030;Ho³ubasz;Mamajak;4
1031;Skotowiecka;Ajchen;10
1032;Tymowicz;Juzoœ;1
1033;Seneñczuk;Hordyñ;6
1034;Miedejszo;Czuchroñ;9
1035;Dromblewska;£awryñska;1
1036;Parluski;¯ró³ko;6
1037;Fogtmann;Nikatko;1
1038;Krystow;Miciuk;6
1039;Heratym;Cierzeniewska;8
1040;Orkaszewski;£uciakiewicz;8
1041;Parfin;Pukalski;9
1042;£êczowski;Chochacz;6
1043;B³a¿eñska;Mikow;1
1044;Schoepfer;Holak;7
1045;Fedarczyk;Dunat;3
1046;Poliwoda;Cenca³a;8
1047;Sza³ek;Wojdylewicz;8
1048;Dutkiewicz;Kuzmenko;7
1049;Miechniewicz;Batar;6
1050;Zabry³a;Konwischer;5
1051;Misiejko;Elffers;7
1052;Przysie¿niak;Gogól;4
1053;Kierczuk;Passela;9
1054;Sikau;Horvath;5
1055;RaŸnika;Dora¿;1
1056;Stanis³awczuk;Fik³us;8
1057;Sergowicka;Jendraszczak;8
1058;Idrijan;Kowaniec;6
1059;Anglik;Oœwiêcimko;5
1060;Wirkin;Ognicki;1
1061;Stêpak;Herzeg;10
1062;Dowchaniuk;Wysztacka;5
1063;Przybójewski;So³omanow;1
1064;Kostêmbski;Pa³kin;2
1065;¯ernechel;Wiêcewicz;10
1066;Wojnerowicz;Berner-Serbo³ow;9
1067;Görlitz;Mosiejko;4
1068;Obroœlak;Razielewska;1
1069;Komnitz;Breskott;2
1070;WoŸniakowski;Marazin;1
1071;Oppór;Was³oñ;3
1072;Garkul;Pajenczak;3
1073;Nieswant;Gulc;5
1074;Marty;Próchniewicz;2
1075;Rakaczewska;Burow;5
1076;Dziel¹dziak;Hauryszkiewicz;8
1077;Bekañska;Makusch;6
1078;Bohryn;Zdero;1
1079;Sztyma;Hodula;3
1080;Skakuj;Artemuk-Wel-Sacharuk;10
1081;Plaskiewicz;Grzêbieniowska;3
1082;Umer;Kowronka;1
1083;Dwo¿yñski;Buczniewski;7
1084;Ugriczicz;Ga³¹biewska;9
1085;Hronik;Dusanowski;2
1086;Fronckowiak;Magiera;7
1087;Habrewicz;G¹dk;1
1088;Andryjewicz;Kolat;4
1089;Kiliñczak;Zo³nierczuk;8
1090;KuŸdubowski;To³kaczew;9
1091;Gurland;Stroszain;6
1092;Lak;Ankudowicz;7
1093;Marcinieczko;Silwanow;1
1094;Sieroszewski;Kriegiel;2
1095;Chosta;Michu³a;10
1096;Hermasch;Budnias;8
1097;Kordiaczyñski;Rawiak;7
1098;Finler;Poczwardowski;4
1099;Brenaœ;Wochnicki;2
1100;Fiumkiewicz;Dobranowski;1
1101;Makinowska;Beretyñska;8
1102;Dzianiski;Buglewski;5
1103;Wagelis;Szypura;6
1104;Riszleger;Patasiñska;8
1105;Wasylikow;Poroæ;10
1106;Kaziestañska;Mahonik;9
1107;Rekisz;Schaber;4
1108;Figm¹ka;Gapon;1
1109;Schliefenbach;Kupijaj;8
1110;Delebiñski;Œpiorek;5
1111;Chyna³;Klemensiowicz;1
1112;Rosleñ;Bierestow;5
1113;Wiligórski;Ziemniakiewicz;3
1114;Bylok;Bombieñska;7
1115;Buga³o;Donderewicz;9
1116;Kiwil;Zygmontczuk;3
1117;£aszczyk;Kwaœnik;9
1118;Krampikowski;Siedzitzko;3
1119;Kicha;Otmianowski;4
1120;Lehek;Gejneberg;2
1121;Inoziemcowa;Jêdruchowicz;5
1122;Smêtak;Cierpiski;2
1123;Mintzberg;Belnas;3
1124;Opyæ;Kuteraœ;7
1125;Kurjan;Szelmeczka;6
1126;Grakowicz;Przydryga;8
1127;Prze¿ywalski;Dongiewicz;1
1128;Jorysz;Krowoczyñska;1
1129;Jendys;Zelechower;2
1130;Halle;Meinlisch;4
1131;Dubienienko;Anglard;7
1132;Eckes;Rydziel;7
1133;Sembaj;Jakuszwiak;4
1134;Strzêbuszewski;Jermañczyk;10
1135;Smerdak;Mohylewski;5
1136;Erdstein;Tarabas;5
1137;Betcherski;Kilimiek;6
1138;Gising;Po³sz;1
1139;Franasik;Niczuporuk;10
1140;Sk¹bska;Ka³êko;4
1141;Sat³awa;Handenraich;7
1142;Krestenko;Jurich;10
1143;Bauach;Minerczyk;9
1144;¯uromiñska;Nesyn;6
1145;Rzychowska;Cacyk;3
1146;Majta³owicz;Osek;8
1147;Bruniarska;Prybacki;7
1148;£eski;Lichograj;2
1149;Pomiêtlarz;Riewiszko;5
1150;Dewant;Larkowski;6
1151;Serad;K³awsuæ;1
1152;Nasciuk;Dawiczak;10
1153;Furmaniec;Nieklewicz;2
1154;Jasczak;Gruœciñska;3
1155;Bieñczycki;Ziernowska;3
1156;Korasasz;Drysielska;5
1157;Piaskulak;Koœciañczuk;1
1158;Dalibog;Mendrela;10
1159;Helibruda;Chwedorec;10
1160;Peeters;Hudañski;7
1161;Moderzyñska;Stuczkowski;2
1162;Pojê;Cielatkowski;1
1163;£andyszko;Arbajt;2
1164;Muszalak;Skruszewicz;4
1165;Sieczewski;Prachniak;8
1166;Kubulska;Ja³kowicz;10
1167;Pie³ka;Marlicki;10
1168;Marczyœka;Marnecha;3
1169;Blachaczek;Dzieduszczyk;2
1170;Kumorowicz;Owerko;7
1171;Miedniok;Dechowicz;5
1172;Grelof;¯u³kowski;9
1173;Ko³yga;Dezsa;5
1174;£eñ;Brzoszkiewicz;1
1175;Thurlow;Audachowicz;8
1176;Cinkaj;Batyczko;7
1177;Czubluk;Kroczewski;3
1178;Papsza;Mala³a;5
1179;£upowska;Muczañska;2
1180;Korobejko;Bordiok;1
1181;Metuska;¯arzecka;9
1182;Robe³ko;Sipiec;5
1183;Dazarek;Julikowski;6
1184;Szynglarz;Ku¿niñska;1
1185;Moœcibrodzki;Szpórnóg;9
1186;Naotyñski;Andriuszczenko;10
1187;Posadowski;Nowiczuk;1
1188;Fiedo³ow;Rzoñcz;5
1189;Reike;Krzemiêdak;6
1190;Ga³aszkiewicz;Blaœkiewicz;3
1191;Gawrylow;Gniefke;10
1192;Nafciger;Misio³ek;7
1193;Ukiñski;Dzia³oszyk;3
1194;Cierluk;Magdanas;2
1195;Smor¹gowicz;Patrij;8
1196;Rzelechowski;W³aszczyñska;2
1197;Staniszkis;Huson;1
1198;Mojasa;Marudna;6
1199;Œwitocz;Pieciunkiewicz;1
1200;Hacas;Dziadaœ;9
1201;Kindzirski;Struziñski;1
1202;Grossfeld;Mizimiak;2
1203;Sztyger;Ka³êdek;2
1204;Korodczuk;Delingowski;9
1205;Zonnenberg;Trzepa³owska;6
1206;Mularonek;Senfleben;5
1207;Eylers;Dokutliner;9
1208;Szanajca;Niezgu³a;7
1209;Chwojka;Fahrich;1
1210;Œwiadniak;Kuczerba;3
1211;Gordczuk;Dziubikowska;7
1212;Fisch;Martyñ;3
1213;Kruko;Wiszocka;3
1214;Pupczyk;Zdrzal;9
1215;Samulewicz;Zaniew;4
1216;Ciapka;Galimow;10
1217;Kokoscha;Fashauer;6
1218;Mokrzyszak;Hudzia;9
1219;Lawosiñska;£askarzewski;8
1220;Powro¿ek;Pollmeyer;1
1221;Galañski;Cancan;5
1222;Kotyz;Borzkert;4
1223;Behlert;Nikulak;8
1224;Manna;Ba¿ycki;10
1225;Nomola;Nawajczyk;3
1226;Nauialis;Nendzig;2
1227;Wieczfiñski;P³atonikow;6
1228;Bu³ugin;Soko³a;3
1229;Plisiñski;Kobczyk;2
1230;Sêga³a;Kosarzyk;9
1231;Zawiernicka;Metrika;4
1232;Tezcan;Androjna;3
1233;Dumañczuk;B³astoñska;1
1234;Niszewski;Unikowski;10
1235;Nesko;Kortyœ;1
1236;Nileszczak;Anufrowicz;8
1237;Serdiuk;S³obusz;7
1238;Owierkowicz;Dobreñko;6
1239;Jandziaszek;Mytykowski;4
1240;Iwenz;Ejdul;2
1241;Gittke;Stabak;6
1242;KruŸlewska;Korhaszewska;8
1243;Grygieñæ;Dzif;8
1244;Barze³;Stynka;2
1245;Parajs;Bobodziuk;1
1246;Schurma;Frysztadt;2
1247;Szenfelt;Waleñszczak;10
1248;Bejenke;Olisierowicz;2
1249;Pawelc;Przewdziêtkowska;3
1250;Newracil;Kosowiak;2
1251;Maniukowska;Popela;9
1252;Pracoœ;Klula;4
1253;Fabjanowicz;Bodzina;1
1254;Fimowicz;£abud;5
1255;S³oposz;Cieba;4
1256;Zewski;Kneba;9
1257;Stachoñ Wawrzków;Chamerszmit;7
1258;Fylarczyk;Libr;2
1259;Cimperlik;Meledyñ;2
1260;Psoda;Warmcz;7
1261;Mizia³;Pomozow;2
1262;Goldfried;Rill;7
1263;Bartysiak;Wó³kowski;1
1264;Zbykowska;Z¹bczuk;8
1265;Ciecio³kiewicz;Chadajczuk;8
1266;Piwczek;Kiernik;5
1267;Monczko;Domaschke;1
1268;Sasorski;Deolecki;8
1269;Johas;Maruszan;5
1270;Felikszowski;Dachela;6
1271;Zagozdzion;Simak;9
1272;Wiatrowiec;Ku³ynczyn;7
1273;J¹dryka;Rogiecki;9
1274;Wilkañski;Do³harz;2
1275;Lubbach;Makay;5
1276;Curulewska;Ribacor;1
1277;Darynek;Sterwiacz;9
1278;Niebiañski;Deleski;1
1279;Brzechta;Biera³a;1
1280;Habnela;Biecheisen;7
1281;Golczyñski;Norra;5
1282;Kilimczuk;Begerski;7
1283;Sabajda;Pals;3
1284;Dobbelstein;Miêcki;10
1285;Ruka;Ewy;5
1286;Kre¿lok;Chilimonczyk;6
1287;Trzecionkowski;Friedrici;5
1288;Wojtatowicz;Gr¹baczewski;8
1289;Gribner;Kusyñ;2
1290;Wikl;Engelin;7
1291;Maœlonik;Kijonka;8
1292;Dorogi;Gimmel;5
1293;Jêdroszyk;Wullenbeker;4
1294;Dybiziñska;Mik³asewicz;5
1295;Gauchy;Bieszek;8
1296;Obyrtak;Szlenkowski;9
1297;Trenzeluk;Kowzowicz;8
1298;Motliñska;Ga³basik;1
1299;Wszo³;Gronowicz;1
1300;Pachalczyk;Boren;1
1301;Pichur;Dewudzki;4
1302;Zachoñska;Glandz;5
1303;Caliski;Kudybyn;5
1304;Eger;Aksztulewicz;1
1305;Gamze;Priwiezieñcew;7
1306;Sobestyan;Gwiosda;4
1307;Dudenis;Frejów;5
1308;Cuchra;Maruszczyk;2
1309;Karpoñska;Duszczenko;6
1310;Dêbina;Capkowska;10
1311;Sempoch;Schoennagel;9
1312;Rohman;Kobeluch;5
1313;Zagibaj³o;Hermesz;10
1314;Kildanowicz;Symonczuk;7
1315;Purat;Dr¹g;1
1316;Rympo;HodŸko;5
1317;Szacuñ;Daubensztajn;6
1318;Werden;Windzio;8
1319;Dowhopoluk;Bu¿on;6
1320;Cajn;Schikowski;3
1321;Wociwodzki;Fudalski;7
1322;Hutryk;Zelwert;10
1323;Cielêpa;Krecki;7
1324;Lorenty;Wiêcheæ;8
1325;Menning;Jadkiewicz;2
1326;Karczowski;Stre¿yñski;10
1327;Fasek;Druniñska;2
1328;Defee;Sollik;1
1329;Œmyl;Syrowik;6
1330;Plewiak;Sienanicka;8
1331;Bonczuk;B³asikowska;7
1332;Frentle;Sztamburek;1
1333;Wachmistrowicz;Sta³y;8
1334;Sudzichowski;Jaxa-Ro¿en;1
1335;Bochonka;Dobudzki;4
1336;Chabierski;Taranów;3
1337;Slizin;Pipietz;1
1338;Stammoch;Negnerowska;10
1339;Berghardt;Wielisiej;6
1340;Æwiêcka;Kobroñ;9
1341;Dytnecka;Fiur;5
1342;Sochy;Œwiecimski;8
1343;Kazbieruk;Wo³yniak;1
1344;Morylak;Kieszcz;8
1345;Brzuchowski;Lesiuk vel KoŸluk;1
1346;Lenkewicz;Klewiec;1
1347;Pieregorólka;Mazejko;4
1348;Szweinoch;Prewysz-Kwinto;7
1349;Habernik;Niebora;7
1350;Kosier;Nalewajczyk vel Nalewaj;8
1351;Zolonczyk;Gu¿nik;5
1352;Hudon;Iryœ;6
1353;Hajenko;Rzysko;7
1354;Brukert;Krzuszczuk;5
1355;Kuzubski;Cerklewicz;8
1356;W¹truch;Bohmert;2
1357;Gronner;Berzkowiak;7
1358;Gadzielska;Bernatek;2
1359;Girug;Wodas;2
1360;Szufla;Mecfeld;5
1361;Mazaraka;Jesztat;1
1362;Gist;Jaruchewicz;9
1363;Krzabelska;Biendarra;5
1364;Fedor;Peracki;5
1365;Szwenefeier;Wasylka;3
1366;Matiasek;K¹stowicz;2
1367;Kachniewski;Bakszajew;1
1368;Marasim;Lajeœnica;8
1369;Wujaczka;Strzebien;2
1370;Kwiatek;Korowód;7
1371;Firik;Dunin-Kozicki;9
1372;Stelzig;Korotko;1
1373;Czewiñska;Homerlik;1
1374;Ganak;Szarowolski;5
1375;Me¿erycki;Mlyczyñski;9
1376;Cmochó³;Jacórzyñski;2
1377;Kotykas;Kaœniak;10
1378;Sicarski;Bracha;2
1379;Jeœkowiak;Popowiak;7
1380;Rewaj;Faryna;1
1381;Ziemgowski;Patrzylas;4
1382;Wirzinkiewicz;Bartols;2
1383;Kuœmina;Szalej;10
1384;Sasasz;Konszewicz;4
1385;Mankiewicz;Miêczewski;1
1386;Skiebka;Bêkeszczuk;9
1387;Trych;L¹szczka;1
1388;Szesze³ko;Wosenko;10
1389;Karauza;Czyza;8
1390;B¿dzioch;Kudabo;5
1391;Kryszy³o;Oratowski;7
1392;Skrzendzewska;Czy¿dziel;10
1393;£ywczywek;Gu³ów;9
1394;Foubert;Holota;4
1395;Gorjaczew;Glirsman;10
1396;Krystjañczuk;Trepla;8
1397;Chrupaj³o;Dziemiela;10
1398;Hamelin;Gynczewa;3
1399;Siajak;Muchalczyk;7
1400;Rydlakowski;Muchewicz;5
1401;Krzywoñski;Simeonidu;9
1402;Gerszynowicz;Bohdzian;5
1403;Bigosi¹ska;Bredlich;2
1404;Nalewaj;Arkulisz;2
1405;Michasionek;Koziorkowski;1
1406;Andrysieczko;Urszyñska;10
1407;Nadrêga;Budzikowski vel Bajka;7
1408;Gêœkowiak;Rzekiêæ;1
1409;Dnyszczuk;Jawidzyk;8
1410;Szwaruk;Ostrosz;4
1411;Jarmisz;£ysz;8
1412;Dra¿yñski;Pudlak;2
1413;Czo³akow;Dzi¹g;7
1414;Pierzcho³a;Maznica;
1415;Grahowska;Reurowicz;2
1416;Ko³odwicki;Pochwistniew;2
1417;Sturh;Cimba³ów;5
1418;Vickery;Kruziewicz;7
1419;Szkoropad;Perestaj;4
1420;Zabczak;Dalhn;8
1421;Pipro;Fafer;9
1422;Puszyna;Witolin;8
1423;Kusowicz;Fandrei;10
1424;Balandat;Oslowska;9
1425;Fajczak;Semra³;6
1426;Ba³tuæ;DzadŸ;10
1427;Rast;Bluhma;6
1428;Szkirut;Kadeja;6
1429;Foy;Dyrak;1
1430;Dymetrów;Stuj;7
1431;£apieñ;Adryanek;1
1432;Butrak;Ciêsek;6
1433;Szarff;Prochal;1
1434;Strzemba³a;¯ê¿awa;2
1435;Weissberg;Sieprzutowska;6
1436;Ba³siewicz;Niewolañski;1
1437;Brud³o;Flaszner;2
1438;Bomczyñski;Monachiewicz;8
1439;Lidman;B³aszkow;9
1440;Filus;Baloñski;8
1441;£yzeñ;Matusikiewicz;7
1442;Unie¿ycki;Samotacha;1
1443;Barków;Bieryndo;3
1444;Æwirzyñska;P³ochniewski;8
1445;Paœkuda;Go³atowska;5
1446;£ucenia;Gr¹da;10
1447;Grzeborczyk;Babelek;1
1448;Chor¹ski;Pos¹dzy;4
1449;Baryt;Brenzlak;8
1450;Korycarz;Hoinkiœ;8
1451;Zamarlicki;Polhen;7
1452;Ch³¹dowicz;Borzdyñski;4
1453;Drenk;Garwiñski;6
1454;Brylas;Œlozko;7
1455;Kozieracki;K¹dzielski;1
1456;Zalent;¯o³otarewicz;5
1457;Marsa³ek;Vogels;10
1458;Kosy³o;Jotke;9
1459;Worobiec;Barabak;6
1460;Pompka;Brêdzej;2
1461;Jaskierski;Dworsatschek;1
1462;Ma³onia;Zmyt;6
1463;Eggle;Prommersberger;
1464;Nieczypior;Czechowicki;5
1465;Fiedorko;Segiert;9
1466;Antoniowek;Gargón;1
1467;Krolik;Kudynowicz;3
1468;Klicman;¯uwalski;9
1469;Rynkewicz;Babuszkin;2
1470;Rayall de Ragan;Grajcar;3
1471;¯rebiñski;Pilipas;1
1472;Œwiêcki;Golka;9
1473;Bonalik;Ruczka;1
1474;Gudziecki;Koszyczarz;7
1475;Czubryk;Hadajczuk;6
1476;Józiñska;Cawêski;10
1477;Dyksiñski;£yp;4
1478;Mazurawski;Hafman;4
1479;Zalaza;Grychno;5
1480;Rejdyk;Kukolies;8
1481;Salemendra;Sejbuk;7
1482;Trofym;Dziejuk;9
1483;Finio;Miktus;2
1484;Rothegel;Lynart;7
1485;Starula;Bisto;10
1486;Wagiera;Dorociarz;9
1487;Greœkow;Ró¿niecki;7
1488;Brutuszewski;Chudzil;9
1489;Brzycy;Prawnik;9
1490;Bartnikowski;Kruschik;7
1491;Garolijas;Wojtylik;1
1492;Czeperak;Dubert;4
1493;Piesiecki;Szerzewicz;8
1494;Kobus;Baldyœ;10
1495;Zagzia³;Czyszejuk;10
1496;Wytyk;Pieszczok;6
1497;Jacek;Ommar;3
1498;Cyruchin;Perschun;9
1499;Sabewa;Harimski;3
1500;Zender;Go³asiñski;5
1501;£abonarski;Ta³ajtowska;2
1502;Wojtat;Konsil;1
1503;Paœmionka;Obratkiewicz;1
1504;Rebi¿ak;Maœka;10
1505;Pizacz;Burdykin;9
1506;Bisoñ;Wosielczyk;8
1507;Chandej;Piertona;1
1508;Paksztys;Sosonowski;3
1509;Cipuk;Gojlanek;10
1510;Ciemiewicz;Bentelman;2
1511;Porniawski;Panamorow;2
1512;Brdynkiewicz;Tuptoñski;1
1513;Szukis;Dza³a;10
1514;Goerlich;Wierzel;9
1515;Kanbudzka;Willert;8
1516;Podelwowski;Wygnañczuk;3
1517;Sztarkszwarc;Slupa;10
1518;Korgiel;¯mujda;9
1519;Strusiak;Oleskiuk;1
1520;Nieczuk;Tamiz;4
1521;Po³ciewicz;Pu³awniak;8
1522;Stasiak vel Stasek;Szmaterling;8
1523;Lejbik;Sowicki;2
1524;Jamrug;Samotach;2
1525;Syrzysko;Truczek;2
1526;Fenner;Wieraska;7
1527;S¹deñska;£yczar;4
1528;Redlak;Czandar;8
1529;Pefszyñska;Wosz;5
1530;Ku³yba;Miêcz;9
1531;Babincew;Smolarz-Tymoszuk;9
1532;Ryba;Lekkoduch;9
1533;Juchnowicz-Bierbasz;Ró¿ewski;3
1534;Sorga;Dowiakowski;8
1535;Dobragost;Karoliniak;8
1536;Kurzyma;Pa³ys;3
1537;Bialo¿y³;Zdziœ;7
1538;Reszelski;Dedoñski;9
1539;Borówków;Pietowski;1
1540;Germalec;Pêchorzewski;1
1541;Kasmarek;Piosiñska;1
1542;Kusiaków;Paluszewicz;7
1543;Kryjasz;Gorbowicz;
1544;¯eglen;Kie³basów;4
1545;W³adys³awowski;Ziemieœkiewicz;6
1546;G³adych;Mandziuk;7
1547;Ku¿micki;Hatke;6
1548;Snuga;Chapnik;9
1549;Peddie;Kapola;1
1550;Mi¹zel;P³askiewicz;9
1551;Smalira;Koszczol;1
1552;Mind;Bolszewski;6
1553;Borchacz;Ilbge;7
1554;Trecki;Wischalla;2
1555;Sajpelt;Tela;9
1556;Wacikowski;Azyan;2
1557;Onysczuk;Siof;7
1558;Prytek;Spojda;3
1559;Kotyna;Citkiewicz;4
1560;Harlakiewicz;Waingart;8
1561;Ryczka;Zaszczyrzyñska;5
1562;Janiaczak;Krzepiczowicz;4
1563;Sznajdrowicz;S³awianowski;4
1564;Kiedrycka;Duraszyñski;10
1565;Zyganowski;Bresso;3
1566;Bardin;Senenko;7
1567;£uciñski;Piprowski;10
1568;Kêpasz;Kwiecuñ;8
1569;Czornenki;Koneczniak;4
1570;Stacherzak;Pajdosz;9
1571;M¹czyk;Sy¿ewska;7
1572;Czepulis;Kniaziew;8
1573;Chodkowicz;Mielesza;1
1574;Tarabura;Kostanczuk;8
1575;Cedryk;Reisenbichel;3
1576;Korcipa;Horochowski;1
1577;Drezner;Rudieczko;2
1578;Pampel;Zaróbiak;4
1579;Burlik;Dusi³³o;2
1580;Szmulewski;Pochaczewska;1
1581;Korcaba;W³osianek;1
1582;Zmarko;Paukstat;10
